RRraw,SpO2raw,HRraw,RRlowess,SpO2lowess,HRlowess,Label
21.5,92.0,89.7,20.000747219332577,91.89997335907779,90.39749484626049,0
21.5,92.0,89.7,19.940847970727173,91.89761115879195,90.39738633683311,0
21.5,92.0,89.7,19.88096836382246,91.89525808056327,90.39693710640832,0
22.3,92.0,88.7,19.821108065586298,91.89291432147358,90.39614096226329,0
19.9,92.0,87.1,19.76126637937157,91.89058006073012,90.39499178474689,0
21.0,92.0,86.3,19.701442210971514,91.88825545894984,90.39348371705664,0
20.7,92.0,91.5,19.641634313492403,91.88594065743929,90.39161141763277,0
19.9,92.0,89.7,19.58184121254061,91.88363577746713,90.38937003601737,0
17.7,92.0,87.8,19.522061222668142,91.88134091952915,90.38675466154757,0
17.5,92.0,88.2,19.462292627381085,91.87905616260923,90.38376046934265,0
16.4,92.0,87.9,19.40253399485822,91.87678156342946,90.38038301357358,0
21.5,92.0,90.3,19.342784297606773,91.87451715569242,90.37661825821833,0
21.5,91.2,91.5,19.283042874330505,91.8722629493124,90.37246253572867,0
21.1,91.0,88.9,19.223308817025497,91.8700189527464,90.36791223029691,0
18.9,91.0,88.2,19.163580811132952,91.86778526339175,90.36296363944369,0
16.7,90.6,87.7,19.10385723865589,91.86556208156232,90.35761328965137,0
17.8,90.2,88.8,19.04413652368332,91.86334969735168,90.35185812323242,0
24.0,91.0,91.9,18.984417428768126,91.86114847518814,90.34569555375774,0
20.7,91.8,88.9,18.924698828497352,91.85895883653866,90.3391232739451,0
19.8,92.0,88.6,18.864979091932568,91.85678124124986,90.33213894794552,0
21.6,91.9,88.5,18.805256211679186,91.85461616482809,90.3247404929391,0
15.8,91.6,86.5,18.745527917110877,91.852464072016,90.31692621653075,0
15.1,91.0,86.9,18.6857916506313,91.8503254316679,90.30869489718508,0
14.7,90.2,87.1,18.626045183561207,91.84820075397644,90.30004598961148,0
14.8,90.0,87.0,18.56628684883769,91.84609058478173,90.29097965129101,0
14.1,90.0,87.6,18.506515587800784,91.8439954869388,90.28149673479305,0
14.6,90.0,87.5,18.44673096812886,91.84191602131986,90.27159879595148,0
16.7,89.9,89.5,18.386933227268674,91.83985272791737,90.26128806009817,0
18.6,90.4,87.4,18.327123214561897,91.83780610750145,90.25056738298466,0
20.0,92.4,90.2,18.267302142656597,91.83577660425787,90.23944011263293,0
19.9,93.0,89.7,18.207471275991946,91.83376458979777,90.22791019972026,0
19.7,93.4,90.9,18.147631706635785,91.83177034783924,90.21598198455968,0
17.2,94.0,88.6,18.087784315456812,91.82979406611304,90.20366015808013,0
14.7,94.0,86.5,18.027929853286157,91.82783587018521,90.19094971686921,0
14.1,93.5,86.0,17.968069286847214,91.82589586994152,90.17785624917627,0
14.1,93.0,86.6,17.908204133879035,91.82397416183704,90.16438623450108,0
18.9,93.3,89.7,17.848336583963427,91.82207078832447,90.15054715672794,0
18.5,94.0,89.6,17.788469404574954,91.82018569483401,90.13634742958074,0
23.5,94.0,92.3,17.728605464749656,91.8183187484645,90.1217961117153,0
20.3,93.8,91.4,17.66874755167707,91.81646978846928,90.10690279422408,0
14.4,91.6,89.2,17.608898025317774,91.8146386359887,90.09167735461835,0
13.3,90.2,88.7,17.54905904257136,91.8128250954947,90.07613005407822,0
14.1,90.0,89.6,17.489233246048247,91.81102898134536,90.06027184506604,0
14.7,90.0,88.9,17.429424007721714,91.80925012014639,90.04411450343041,0
14.0,90.0,89.6,17.369635412680157,91.80748834450667,90.0276706087581,0
19.6,90.1,90.5,17.309872240308476,91.80574348639458,90.010953627753,0
13.8,91.0,88.6,17.250139891725276,91.80401537005011,89.99397788545619,0
13.5,90.7,88.6,17.19044397108186,91.80230380439752,89.97675855201214,0
30.7,90.8,96.1,17.130790779743386,91.80060857489697,89.95931189684018,0
28.9,91.0,97.4,17.07118734090669,91.7989294347602,89.94165524889836,0
26.4,91.0,96.2,17.011640699274857,91.79726609544498,89.92380635055646,0
26.7,92.0,96.6,16.9521579370491,91.79561821633118,89.90578318554299,0
24.9,92.0,96.4,16.892746014805503,91.79398539346403,89.88760401237606,0
20.3,91.0,94.5,16.833411694908843,91.79236714831195,89.86928738186953,0
24.3,91.1,96.5,16.7741614188779,91.7907629218179,89.8508521873737,0
26.7,91.8,99.2,16.715001300895228,91.78917207723488,89.83231776875796,0
28.8,91.7,100.7,16.655937038930357,91.78759390552383,89.81370387681875,0
31.0,91.6,100.5,16.596974071249946,91.78602763257639,89.79503073029284,0
29.6,91.4,102.6,16.53811783046858,91.7844724317616,89.77631915506782,0
29.2,91.6,105.2,16.47937384739246,91.78292744169948,89.75759069486499,0
26.3,91.8,107.0,16.420747795906657,91.78139178530833,89.73886794236776,0
22.9,91.6,105.0,16.362245403968238,91.77986454307339,89.72017497767503,0
22.7,92.2,100.7,16.303872070139242,91.77834472123968,89.70153763047122,0
22.9,92.0,98.4,16.245632516048445,91.77683124546658,89.68298345614453,0
15.5,91.3,95.1,16.187530635505972,91.77532288066256,89.66454134322082,0
15.0,91.0,93.2,16.129569569838598,91.77381824304723,89.64624133135648,0
14.9,91.0,92.9,16.07175240281667,91.77231589490589,89.62811471678813,0
14.4,90.7,92.0,16.01408243407338,91.77081436910206,89.61019429410624,0
14.7,90.2,92.2,15.956563266606441,91.76931217154184,89.59251450438265,0
13.6,90.0,91.4,15.899198931607195,91.76780778560722,89.57511157489209,0
13.8,90.0,91.9,15.841993981527443,91.76629967934458,89.55802352211593,0
13.6,90.0,91.5,15.784953757117819,91.76478631648179,89.5412901460489,0
13.5,90.0,91.9,15.728084569691738,91.76326617272787,89.5249527812052,0
13.2,90.0,91.6,15.671393933902204,91.76173775931629,89.50905393710622,0
13.4,90.0,91.8,15.614890863658939,91.76019965640661,89.49363662849986,0
13.1,90.0,92.0,15.55858624322811,91.75865055979922,89.47874343093953,0
